               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.019832,            0.008863,            0.012163,             0.95163,             0.95243,             0.98034,              0.8075,           0.0093403,           0.0050513,           0.0038391,            0.070038,           0.0033291,           0.0033291
                   1,            0.018494,           0.0084798,             0.01115,             0.93239,             0.94696,             0.97471,             0.80324,           0.0094995,            0.005195,           0.0045941,            0.039379,           0.0060028,           0.0060028
                   2,            0.019587,           0.0086175,            0.011672,              0.9379,             0.92696,             0.96754,             0.78692,            0.009936,           0.0052494,           0.0054224,           0.0080592,           0.0080166,           0.0080166
                   3,            0.020208,           0.0085765,            0.011448,             0.95037,             0.94071,              0.9797,             0.79258,            0.010064,           0.0052591,           0.0038582,             0.00703,             0.00703,             0.00703
                   4,            0.019523,            0.008447,            0.010837,             0.92901,             0.93117,             0.97332,             0.80207,           0.0093502,           0.0050257,           0.0044857,             0.00703,             0.00703,             0.00703
                   5,            0.019177,           0.0083979,            0.012114,              0.9506,             0.93714,              0.9776,             0.80704,           0.0089288,           0.0050068,           0.0041487,             0.00604,             0.00604,             0.00604
                   6,            0.017304,           0.0080082,            0.010612,             0.93265,              0.9582,             0.97888,             0.82066,           0.0085602,           0.0049111,           0.0040424,             0.00505,             0.00505,             0.00505
                   7,            0.016844,           0.0078221,            0.010812,             0.95233,             0.95173,             0.98158,             0.82513,           0.0084045,           0.0047552,           0.0035948,             0.00406,             0.00406,             0.00406
                   8,             0.01592,           0.0075555,            0.010043,             0.91218,             0.95934,             0.97882,             0.82592,           0.0081958,           0.0046099,           0.0039849,             0.00307,             0.00307,             0.00307
                   9,            0.015003,           0.0073198,           0.0092704,             0.94572,             0.94398,              0.9794,             0.83448,           0.0079145,           0.0045318,           0.0038592,             0.00208,             0.00208,             0.00208
